,marital_status,application_mode,application_order,course,daytime_evening_attendance,previous_qualification,previous_qualification_grade,nationality,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_credited,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,curricular_units_2nd_sem_evaluations,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,curricular_units_2nd_sem_without_evaluations,unemployment_rate,inflation_rate,GDP,status
30,single,Technological specialization diploma holders,1,Agronomy,daytime,technological specialization course,150.0,Portuguese,150.0,No,No,No,yes,Male,No,21,No,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
31,single,Change of institution/course,1,Communication Design,daytime,secondary education,125.0,Portuguese,130.0,Yes,No,No,yes,Male,No,20,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
32,single,General Contingent,1,Management,daytime,secondary education,143.0,Portuguese,138.8,No,No,No,No,Male,No,18,No,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
33,single,3rd general contingent,1,Social Service (evening attendance),evening,secondary education,138.0,Portuguese,134.5,Yes,No,No,yes,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
34,single,General Contingent,1,Management (evening attendance,evening,secondary education,130.0,Portuguese,131.4,No,No,No,yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
35,single,Over 23 years old,1,Biofuel Production Technologies,daytime,secondary education,130.0,Portuguese,102.5,No,No,Yes,No,Male,No,37,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
36,single,Over 23 years old,1,Informatics Engineering,daytime,11th year of schooling - not completed,133.1,Portuguese,128.8,Yes,No,No,yes,Male,No,43,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
37,single,Change of Course,1,Management,daytime,secondary education,140.0,Portuguese,122.9,No,No,No,yes,Female,No,55,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
38,divorced,Over 23 years old,1,Management (evening attendance,evening,secondary education,120.0,Portuguese,113.9,Yes,No,No,yes,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
39,single,Technological specialization diploma holders,1,Equinculture,daytime,technological specialization course,120.0,Spanish,120.0,No,No,Yes,No,Female,No,20,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
40,single,General Contingent,5,Journalism and Communication,daytime,secondary education,126.0,Portuguese,121.1,No,No,Yes,yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
41,single,General Contingent,2,Management,daytime,secondary education,133.0,Portuguese,120.4,Yes,No,No,yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
42,single,General Contingent,6,Nursing,daytime,secondary education,103.0,Portuguese,100.6,Yes,Yes,No,yes,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
43,single,2nd general contingent,1,Journalism and Communication,daytime,secondary education,120.0,Portuguese,121.4,No,No,No,No,Female,No,20,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
44,single,Over 23 years old,1,Management (evening attendance,evening,secondary education,133.1,Portuguese,109.7,No,No,No,yes,Female,No,29,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
45,single,2nd general contingent,1,Management (evening attendance,evening,secondary education,154.0,Portuguese,134.1,No,No,No,yes,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
46,single,2nd general contingent,2,Social Service,daytime,secondary education,130.0,Portuguese,127.6,Yes,No,No,yes,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
47,single,2nd general contingent,6,Nursing,daytime,secondary education,132.0,Portuguese,132.4,Yes,No,No,yes,Female,Yes,22,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
48,single,Technological specialization diploma holders,1,Social Service (evening attendance),evening,technological specialization course,130.0,Portuguese,133.4,No,No,No,yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
49,single,General Contingent,1,Social Service,daytime,secondary education,139.0,Portuguese,126.1,No,No,No,yes,Female,Yes,19,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
50,single,Over 23 years old,1,Tourism,daytime,secondary education,130.0,Portuguese,113.5,No,No,No,yes,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
51,single,General Contingent,1,Nursing,daytime,secondary education,139.0,Portuguese,121.3,Yes,No,No,yes,Female,Yes,19,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
52,single,General Contingent,1,Journalism and Communication,daytime,secondary education,127.0,Portuguese,121.8,Yes,No,No,yes,Female,Yes,20,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
53,single,General Contingent,3,Equinculture,daytime,secondary education,167.0,Portuguese,159.3,No,No,No,yes,Female,No,19,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
54,single,Over 23 years old,1,Management (evening attendance,evening,secondary education,130.0,Portuguese,120.0,No,No,No,yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
55,single,General Contingent,1,Nursing,daytime,secondary education,130.0,Portuguese,129.1,Yes,No,No,yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
56,married,Holders of other higher courses,1,Tourism,daytime,higher education - degree,130.0,Portuguese,130.0,No,No,No,yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
57,single,Over 23 years old,1,Equinculture,daytime,higher education - degree (1st cycle),129.0,Portuguese,155.3,Yes,No,No,yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
58,single,2nd general contingent,1,Nursing,daytime,secondary education,141.0,Portuguese,139.8,Yes,No,No,yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
59,single,General Contingent,3,Animation and Multimedia Design,daytime,secondary education,125.0,Portuguese,115.2,Yes,No,No,yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
60,single,General Contingent,2,Nursing,daytime,secondary education,125.0,Portuguese,114.9,No,No,No,yes,Female,No,18,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
61,single,Technological specialization diploma holders,1,Social Service,daytime,technological specialization course,130.0,Portuguese,131.9,No,No,No,yes,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
62,single,2nd general contingent,3,Animation and Multimedia Design,daytime,secondary education,133.0,Portuguese,126.0,Yes,No,No,yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
63,single,2nd general contingent,1,Communication Design,daytime,secondary education,127.0,Portuguese,130.2,Yes,No,No,yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
64,single,Change of Course,1,Communication Design,daytime,secondary education,116.0,Portuguese,120.9,No,No,No,yes,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
65,divorced,Transfer,1,Nursing,daytime,basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,126.0,Yes,No,No,yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
66,single,General Contingent,3,Animation and Multimedia Design,daytime,secondary education,139.0,Portuguese,128.2,Yes,No,No,yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
67,single,Technological specialization diploma holders,1,Agronomy,daytime,technological specialization course,130.0,Portuguese,130.0,Yes,No,No,yes,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
68,single,General Contingent,3,Management,daytime,secondary education,125.0,Portuguese,120.1,No,No,Yes,yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
69,single,Over 23 years old,1,Tourism,daytime,secondary education,160.0,Portuguese,100.0,No,No,No,yes,Male,No,26,No,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
70,single,2nd general contingent,1,Management,daytime,secondary education,148.0,Portuguese,134.0,No,No,No,yes,Male,No,18,No,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
71,single,2nd general contingent,1,Nursing,daytime,secondary education,150.0,Portuguese,130.8,No,No,No,yes,Male,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
72,single,General Contingent,1,Animation and Multimedia Design,daytime,secondary education,141.0,Portuguese,135.8,Yes,No,No,yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
73,single,2nd general contingent,4,Tourism,daytime,secondary education,118.0,Portuguese,111.7,Yes,No,No,yes,Male,No,18,No,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
74,single,General Contingent,2,Journalism and Communication,daytime,secondary education,142.0,Portuguese,132.9,Yes,No,No,yes,Male,No,18,No,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
75,single,2nd general contingent,3,Management,daytime,secondary education,120.0,Portuguese,115.5,Yes,No,Yes,yes,Male,No,18,No,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
76,single,3rd general contingent,4,Tourism,daytime,secondary education,106.0,Portuguese,106.0,Yes,No,No,yes,Male,Yes,21,No,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
77,single,2nd general contingent,4,Journalism and Communication,daytime,secondary education,121.0,Portuguese,120.3,Yes,No,Yes,yes,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
78,single,2nd general contingent,4,Nursing,daytime,secondary education,150.0,Portuguese,130.8,No,No,No,yes,Male,Yes,22,No,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
79,married,Over 23 years old,1,Social Service (evening attendance),evening,secondary education,120.0,Portuguese,117.0,No,No,No,yes,Male,No,33,No,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
80,single,General Contingent,6,Basic Education,daytime,secondary education,114.0,Portuguese,110.2,Yes,No,No,yes,Male,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
81,single,Over 23 years old,1,Management (evening attendance,evening,higher education-bachelors degree,140.0,Portuguese,155.7,Yes,No,No,yes,Male,No,35,No,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
82,single,Over 23 years old,1,Agronomy,daytime,higher education - masters,160.0,Portuguese,180.4,No,No,Yes,yes,Male,No,24,No,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
83,single,2nd general contingent,1,Tourism,daytime,secondary education,120.0,Portuguese,125.5,No,No,No,yes,Male,No,18,No,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
84,married,Over 23 years old,1,Social Service (evening attendance),evening,secondary education,130.0,Portuguese,110.0,Yes,No,No,yes,Female,No,33,No,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate
85,single,Transfer,1,Nursing,daytime,secondary education,160.0,Portuguese,161.0,Yes,No,No,yes,Female,Yes,22,No,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
86,single,Over 23 years old,1,Advertising and Marketing Management,daytime,secondary education,120.0,Portuguese,100.0,No,No,No,yes,Female,Yes,25,No,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
87,single,2nd general contingent,1,Communication Design,daytime,secondary education,124.0,Portuguese,117.6,Yes,No,No,yes,Male,No,20,No,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
88,single,General Contingent,6,Management,daytime,secondary education,143.0,Portuguese,128.7,Yes,No,No,yes,Male,No,23,No,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled
89,single,Change of Course,2,Informatics Engineering,daytime,secondary education,115.0,Portuguese,112.2,Yes,No,Yes,yes,Male,No,18,No,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled
90,single,Over 23 years old,1,Nursing,daytime,secondary education,133.1,Portuguese,100.8,No,No,No,yes,Male,No,24,No,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
91,single,2nd general contingent,2,Journalism and Communication,daytime,secondary education,133.1,Brazilian,105.0,Yes,No,No,No,Female,No,21,Yes,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate
92,single,International students,1,Equinculture,daytime,secondary education,133.1,Brazilian,100.0,No,No,No,yes,Female,No,26,Yes,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout
93,married,Over 23 years old,1,Basic Education,daytime,11th year of schooling - not completed,133.1,Portuguese,115.5,No,No,No,yes,Female,No,39,No,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout
94,married,Over 23 years old,1,Social Service (evening attendance),evening,secondary education,133.1,Portuguese,114.0,No,No,No,yes,Female,No,44,No,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate
95,single,International students,1,Informatics Engineering,daytime,secondary education,130.0,Santomean,137.0,Yes,No,No,yes,Male,No,19,Yes,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled
96,single,General Contingent,5,Journalism and Communication,daytime,secondary education,135.0,Portuguese,124.9,Yes,No,No,yes,Female,No,18,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
97,single,General Contingent,5,Nursing,daytime,secondary education,132.0,Portuguese,120.3,Yes,No,No,yes,Female,Yes,18,No,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate
98,single,General Contingent,1,Veterinary Nursing,daytime,secondary education,135.0,Portuguese,134.3,Yes,No,No,yes,Female,No,19,No,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled
99,single,General Contingent,4,Nursing,daytime,secondary education,115.0,Portuguese,111.5,Yes,No,Yes,No,Female,No,19,No,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout
100,single,Short Cycle Diploma Holders,1,Veterinary Nursing,daytime,professional higher technical course,130.0,Portuguese,128.8,No,No,No,yes,Female,No,21,No,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout
101,single,General Contingent,4,Animation and Multimedia Design,daytime,secondary education,133.1,Portuguese,110.0,Yes,No,No,yes,Female,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduate
102,married,Over 23 years old,1,Social Service (evening attendance),evening,secondary education,130.0,Portuguese,113.5,Yes,No,No,yes,Female,No,36,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
103,divorced,Over 23 years old,1,Agronomy,daytime,other - 11th year of schooling,133.1,Portuguese,160.0,No,No,No,yes,Female,No,43,No,13,18,19,18,14.63157894736842,0,10,13,14,13,14.23076923076923,1,15.5,2.8,-4.06,Graduate
104,single,3rd general contingent,1,Basic Education,daytime,secondary education,123.0,Portuguese,117.4,Yes,No,No,yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout
105,single,Change of institution/course,1,Communication Design,daytime,secondary education,130.0,Portuguese,122.2,No,No,Yes,yes,Female,No,20,No,4,10,12,10,13.0,0,5,11,11,11,12.272727272727272,0,11.1,0.6,2.02,Graduate
106,single,General Contingent,2,Social Service,daytime,secondary education,122.0,Portuguese,118.2,Yes,No,No,yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout
107,single,General Contingent,1,Veterinary Nursing,daytime,secondary education,113.0,Portuguese,106.7,Yes,No,No,yes,Female,No,20,No,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Dropout
108,single,General Contingent,5,Nursing,daytime,secondary education,111.0,Portuguese,108.2,Yes,No,No,yes,Female,No,20,No,2,7,9,6,13.266666666666666,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Dropout
109,single,2nd general contingent,2,Basic Education,daytime,secondary education,133.1,Portuguese,107.0,Yes,No,No,yes,Female,No,20,No,0,7,12,6,11.666666666666666,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,Enrolled
110,single,General Contingent,1,Social Service,daytime,secondary education,142.0,Portuguese,136.1,Yes,No,No,yes,Female,No,18,No,0,6,8,6,13.857142857142858,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduate
111,single,2nd general contingent,2,Management,daytime,secondary education,123.0,Portuguese,115.3,Yes,No,No,yes,Female,Yes,18,No,0,5,9,3,13.0,0,0,5,11,3,11.0,0,8.9,1.4,3.51,Enrolled
112,single,General Contingent,1,Veterinary Nursing,daytime,secondary education,131.0,Portuguese,139.8,Yes,No,No,yes,Female,No,19,No,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,Graduate
113,single,General Contingent,3,Journalism and Communication,daytime,secondary education,158.0,Portuguese,157.0,Yes,No,No,yes,Female,No,18,No,0,6,6,6,12.666666666666666,0,0,6,7,6,12.571428571428571,0,10.8,1.4,1.74,Graduate
114,single,2nd general contingent,2,Nursing,daytime,secondary education,122.0,Portuguese,131.0,Yes,No,No,yes,Female,No,18,No,0,7,7,6,12.516666666666666,1,0,7,7,6,12.516666666666666,1,7.6,2.6,0.32,Dropout
115,single,Change of Course,1,Nursing,daytime,secondary education,130.0,Portuguese,100.0,No,No,No,yes,Female,No,20,No,0,7,11,6,11.616666666666667,0,0,7,7,7,13.0,0,13.9,-0.3,0.79,Enrolled
116,single,2nd general contingent,1,Social Service,daytime,secondary education,154.0,Portuguese,140.4,Yes,No,No,yes,Female,Yes,20,No,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,Enrolled
117,single,2nd general contingent,1,Management,daytime,secondary education,120.0,Portuguese,113.4,No,No,No,yes,Female,No,20,No,0,5,11,3,10.333333333333334,0,0,5,10,3,10.666666666666666,0,12.4,0.5,1.79,Enrolled
